TEAM SEASON,WIN%,PTS,FG%,FT%,PERSONAL FOULS +/-
2009-10 Minnesota Timberwolves,0.183,98.2,44.9,74.6,-9.6
2009-10 New Jersey Nets,0.146,92.4,42.9,78.0,-9.1
2009-10 New Orleans Hornets,0.451,100.2,46.4,77.8,-2.5
2009-10 New York Knicks,0.354,102.1,45.5,78.2,-3.8
2009-10 Oklahoma City Thunder,0.61,101.5,46.2,80.5,3.5
2009-10 Orlando Magic,0.72,102.8,47.0,72.4,7.5
2009-10 Philadelphia 76ers,0.329,97.7,46.0,75.6,-3.9
2009-10 Phoenix Suns,0.659,110.2,49.2,77.0,4.9
2009-10 Portland Trail Blazers,0.61,98.1,46.1,79.0,3.3
2009-10 Sacramento Kings,0.305,100.0,45.6,72.6,-4.4
2009-10 San Antonio Spurs,0.61,101.4,47.3,74.0,5.1
2009-10 Toronto Raptors,0.488,104.1,48.2,76.4,-1.8
2009-10 Utah Jazz,0.6459999999999999,104.2,49.1,74.1,5.3
2009-10 Washington Wizards,0.317,96.2,44.9,76.2,-4.8
2008-09 Atlanta Hawks,0.573,98.1,45.8,73.7,1.6
2008-09 Boston Celtics,0.7559999999999999,100.9,48.6,76.4,7.5
2008-09 Charlotte Bobcats,0.4270000000000001,93.6,45.5,74.0,-1.3
2008-09 Chicago Bulls,0.5,102.2,45.7,79.6,-0.3
2008-09 Cleveland Cavaliers,0.805,100.3,46.8,75.7,8.9
2008-09 Dallas Mavericks,0.61,101.7,46.2,81.9,2.0
2008-09 Denver Nuggets,0.659,104.3,47.0,76.0,3.4
2008-09 Detroit Pistons,0.476,94.2,45.4,75.1,-0.5
2008-09 Golden State Warriors,0.354,108.6,45.8,79.1,-3.7
2008-09 Houston Rockets,0.6459999999999999,98.4,45.3,80.5,4.0
2008-09 Indiana Pacers,0.439,105.1,45.5,80.7,-1.1
2008-09 Los Angeles Clippers,0.232,95.1,44.1,73.6,-8.8
2008-09 Los Angeles Lakers,0.7929999999999999,106.9,47.4,77.0,7.7
2008-09 Memphis Grizzlies,0.293,93.9,45.4,75.6,-5.5
2008-09 Miami Heat,0.524,98.3,45.7,75.4,0.3
2008-09 Milwaukee Bucks,0.415,99.3,44.5,78.0,-1.1
2008-09 Minnesota Timberwolves,0.293,97.8,44.1,76.9,-4.9
2008-09 New Jersey Nets,0.415,98.1,44.8,77.9,-2.4
2008-09 New Orleans Hornets,0.598,95.8,45.7,80.7,1.5
2008-09 New York Knicks,0.39,105.2,44.5,78.4,-2.6
2008-09 Oklahoma City Thunder,0.28,97.0,44.7,78.6,-6.1
2008-09 Orlando Magic,0.72,101.0,45.7,71.5,6.7
2008-09 Philadelphia 76ers,0.5,97.4,45.9,74.5,0.1
2008-09 Phoenix Suns,0.561,109.4,50.4,74.4,1.9
2008-09 Portland Trail Blazers,0.659,99.4,46.5,76.5,5.3
2008-09 Sacramento Kings,0.207,100.6,44.7,79.8,-8.8
2008-09 San Antonio Spurs,0.659,97.0,46.6,76.1,3.8
2008-09 Toronto Raptors,0.402,99.0,45.8,82.4,-2.8
2008-09 Utah Jazz,0.585,103.6,47.5,77.1,2.6
2008-09 Washington Wizards,0.232,96.1,45.0,76.7,-7.5
2007-08 Atlanta Hawks,0.451,98.2,45.4,77.2,-1.8
2007-08 Boston Celtics,0.805,100.5,47.5,77.1,10.3
2007-08 Charlotte Bobcats,0.39,97.1,45.2,71.4,-4.4
2007-08 Chicago Bulls,0.402,97.3,43.5,75.6,-3.1
2007-08 Cleveland Cavaliers,0.5489999999999999,96.4,43.9,71.7,-0.4
2007-08 Dallas Mavericks,0.622,100.4,46.4,81.4,4.5
2007-08 Denver Nuggets,0.61,110.7,47.0,75.1,3.7
2007-08 Detroit Pistons,0.72,97.5,45.8,76.7,7.4
2007-08 Golden State Warriors,0.585,111.0,45.9,75.2,2.2
2007-08 Houston Rockets,0.6709999999999999,96.7,44.8,72.6,4.7
2007-08 Indiana Pacers,0.439,104.0,44.4,76.8,-1.4
2007-08 Los Angeles Clippers,0.28,93.8,43.8,78.1,-7.3
2007-08 Los Angeles Lakers,0.695,108.6,47.6,76.9,7.3
2007-08 Memphis Grizzlies,0.268,100.7,45.4,72.3,-6.2
2007-08 Miami Heat,0.183,91.4,44.3,72.7,-8.6
2007-08 Milwaukee Bucks,0.317,97.0,44.9,73.3,-6.9
2007-08 Minnesota Timberwolves,0.268,95.6,45.1,73.6,-6.8
2007-08 New Jersey Nets,0.415,95.8,44.3,73.6,-5.1
2007-08 New Orleans Hornets,0.6829999999999999,100.9,46.6,76.9,5.3
2007-08 New York Knicks,0.28,96.9,43.9,72.7,-6.6
2007-08 Orlando Magic,0.634,104.5,47.4,72.1,5.5
